Date,Topic,Do Before Class,In-Class Exercise
Mon Jan 12,- Pandas: Reshaping,"- `Tidy Data Format: the goal of reshaping <http://vita.had.co.nz/papers/tidy-data.html>`_
- `Reshaping <../notebooks/class_3/week_4/20.2_reshaping_data.html>`_
- `Pandas reshaping (with pics!) <https://pandas.pydata.org/pandas-docs/stable/user_guide/reshaping.html>`_",- `Link <../exercises/exercise_reshaping.html>`_
Wed Jan 14,"- Speed and Performance in Python
- Pandas: Categoricals","- `Understanding Performance <../notebooks/PDS_not_yet_in_coursera/30_big_data/40_performance_understanding.html>`_
- `Solving Performance Problems <../notebooks/PDS_not_yet_in_coursera/30_big_data/50_performance_solutions.html>`_",
Mon Jan 19,- MLK DAY NO CLASS,,
Wed Jan 21,"- Big Data: What is it, how do I work with it?","- `What is Big Data? <../notebooks/PDS_not_yet_in_coursera/30_big_data/10_big_data_what_is_it.html>`_
- `Strategies for Big Data <../notebooks/PDS_not_yet_in_coursera/30_big_data/20_big_data_strategies.html>`_
- Download the dataset linked at the top of the linked exercise before class.
- `Parquet Format <../notebooks/PDS_not_yet_in_coursera/30_big_data/30_parquet.html>`_",- `Link <exercises/exercise_bigdata.html>`_
Mon Jan 26,"- Parallelism 
- Distributed Computing","- `conda Environments <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/conda_environments.html>`_
- `Parallel Computing <../notebooks/PDS_not_yet_in_coursera/30_big_data/60_parallelism.html>`_
- `Distributed Computing with dask <../notebooks/PDS_not_yet_in_coursera/30_big_data/70_dask.html>`_
(Note reading includes a 45 minute video to watch)",
Wed Jan 28,,- More Dask,
Mon Feb 2,-GIS: Vector Data,"- `What is GIS? <../notebooks/gis/10_gis_what_is_gis.html>`_
- `Installing Geopandas <../notebooks/gis/15_gis_setup_geopanda.html>`_
- `Intro to Geopandas <../notebooks/gis/20_gis_geopandas.html>`_
",
Wed Feb 4,-GIS: Vector Data,- `Mapping <../notebooks/gis/25_gis_mapping.html>`_,
Mon Feb 9,-GIS: Vector Data,"- `Projections <../notebooks/gis/40_gis_projections.html>`_
- `Projections and Geopandas <../notebooks/gis/50_gis_crs_geopandas.html>`_
- `GIS Data Formats <../notebooks/gis/60_gis_data.html>`_",
Wed Feb 11,-GIS: Vector Data,- `Spatial Joins <../notebooks/gis/30_gis_spatial_joins.html>`_,
Mon Feb 16,- GIS: Rasters,- `PGDA Chpt 7 through 7.2 (x-array) <https://pythongis.org/part2/chapter-07/nb/0-learning-objectives.html>`_,
Wed Feb 18,- GIS: Rasters,"- `PGDA 7.3 through ""Creating a raster mosaic by merging datasets"" <https://pythongis.org/part2/chapter-07/nb/02-common-raster-operations.html>`_ (stop before Raster to vector conversion)",
Mon Feb 23,- GIS: Rasters,- `PGDA 7.5 <https://pythongis.org/part2/chapter-07/nb/04-map-algebra.html>`_,
Wed Feb 25,- GIS: Rasters,"- `PGDA 7.4 <https://pythongis.org/part2/chapter-07/nb/03-coordinate-reference-systems-raster.html>`_
- `PGDA 7.3 Resampling Section <https://pythongis.org/part2/chapter-07/nb/02-common-raster-operations.html#resampling-raster-data>`_",
Mon Mar 2,- GIS: Mixing Vector and Raster,"- `PGDA 7.3 ""Raster to vector conversion"" and ""Vector to raster conversion"" <https://pythongis.org/part2/chapter-07/nb/02-common-raster-operations.html#raster-to-vector-conversion-vectorize>`_",
Wed Mar 4,- Machine Learning,"- Géron, Chpt 1: The Machine Learning Landscape (stop before ""Batch and Online Learning,"" then read the ""Testing and Validating"" section)
- Géron, Chpt 2: End-to-End Machine Learning Project",
Mon Mar 9,**NO CLASS**,**SPRING BREAK**,
Wed Mar 11,**NO CLASS**,**SPRING BREAK**,
Mon Mar 16,- Machine Learning,"- `Inference and Prediction <../notebooks/class_5/week_3/20_inference_v_prediction.html>`_
- Supervised ML Workflow",
Wed Mar 18,- Machine Learning,- Supervised ML,
Mon Mar 23,- Machine Learning,- SciKit-Learn,
Wed Mar 25,- Git and github,"- `Git and Github <../notebooks/PDS_not_yet_in_coursera/10_commandline/git_and_github.html>`_
- `Create an ssh key and register with ssh-agent (you don't need to create a passphrase) <https://docs.github.com/en/authentication/connecting-to-github-with-ssh/generating-a-new-ssh-key-and-adding-it-to-the-ssh-agent>`_
- If you don't have a github account, make one. Register a passkey or at least two factor authentication.
- `Add your ssh key to your github account <https://docs.github.com/en/authentication/connecting-to-github-with-ssh/adding-a-new-ssh-key-to-your-github-account>`_
- `Visualize Git Branches <https://learngitbranching.js.org/>`_",
Mon Mar 30,- Git and github,"- Defensive Programming: from `first reading <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/defensive_programming.html>`_ through `Iceberg Principle <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/iceberg_principle.html>`_
- `Workflow Management <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/workflow.html>`_
- `Getting Help <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/getting_help.html>`_
- `Code Reviews <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/pr_review.html>`_",
Wed Apr 1,- Solving Problems with Data,- `Solving Problems with Data <https://ds4humans.com/10_introduction/10_solving_problems_with_data.html>`_,
Mon Apr 6,- Solving Problems with Data,- Problem Taxonomy,
Wed Apr 8,- Network Data,- Intro to graph-tool,
Mon Apr 13,- Network Data,"- Community Detection
- Shortest Path",
Wed Apr 15,LAST CLASS,,
,,,
,,,
