"Date, Rm",Topic,Do Before Class,In-Class Exercise
"Tues, Aug 27","- Class Introduction
- Welcome to VS Code","- **SETUP 1:** `Installing Python and miniconda <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_python.html>`_
- **SETUP 2:** `Installing and Configuring VS Code <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_vscode.html>`_
- `chatGPT and You <../notebooks/PDS_not_yet_in_coursera/99_advice/llms.html>`_
- `Read and sign syllabus, submit on gradescope <https://github.com/nickeubank/practicaldatascience_book/raw/main/ids720_specific/syllabus/Syllabus_PracticalDataScience.pdf?download=>`_
- `Register with IPUMS <https://uma.pop.umn.edu/usa/user/new>`_
- `Register for DataCamp <https://www.datacamp.com/home>`_",
"Thurs, Aug 29","- Setting Up An Algorithm
- 7 Steps","- PPF1, Seven Steps for Algorithm Design
- PPF1, Working an Example of the Seven Steps Process
- PPF1, Data Types
",- Legos
"Tues, Sep 3",- Ideas Into Code,"- PPF2, Important Python Syntax
- `Python v. R <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/python_v_r.html>`_
- PPF2, Translating an Algorithm Into Python
- `f-strings <../notebooks/other/fstrings.html>`_
- `Python Strings (string section only!) <https://realpython.com/python-data-types/#strings>`_","- Using VS Code
- Max, Triangle, and Retirement"
"Thurs, Sep 5",- Ideas Into Code,(More class time on converting ideas into code),- Rainfall
"Tues, Sep 10",- Testing Your Code,"- PPF3, Approaches to Testing
- PPF3, Testing and Debugging
- `What are Tracebacks? <https://www.youtube.com/watch?v=JD8BrXXNtjA>`_
- `Python Debugger in VS Code <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/20_debugging_in_vscode.html>`_",- Zendo
"Thurs, Sep 12",- Lists In Depth,"- PPF4, Looking More into Lists",- Heart Rate Exercise
"Tues, Sep 17",- Object Oriented Programming,"- DSwithNSD1, Basics of Object Oriented Programming","- Point
- Circle"
"Thurs, Sep 19",- Object Oriented Programming,"- DSwithNSD1, Sets and Big-O Notation (and Dicts)",
"Tues, Sep 24","- Command Line Basics
- Advanced Command Line
- Packages
- Jupyter","- **SETUP 3:** `Setup Augmented Command Line <../notebooks/PDS_not_yet_in_coursera/00_setup_env/setup_augmented_commandline.html>`_
- `Command Line Basics <../notebooks/PDS_not_yet_in_coursera/10_commandline/commandline_part1.html>`_
- `Advanced Command Line <../notebooks/PDS_not_yet_in_coursera/10_commandline/commandline_part2.html>`_
- `Python packages <../notebooks/class_2/week_4/30_managing_python_packages.html>`_
- **SETUP 4:** `Jupyter in VS Code <../notebooks/PDS_not_yet_in_coursera/00_setup_env/jupyter_in_vscode.html>`_
- **OPTIONAL SETUP:** `R Jupyter Notebooks <../notebooks/PDS_not_yet_in_coursera/00_setup_env/jupyter_r_notebooks.html>`_","- `Ex 1 <../ids720_specific/exercises/Exercise_CommandLine_1_Basics.html>`_
- `Ex 2 <../ids720_specific/exercises/Exercise_CommandLine_2_Advanced.html>`_
- `Ex 3 <../ids720_specific/exercises/Exercise_jupytervscode.html>`_"
"Thurs, Sep 26",- Numpy Basics,"- Under the numpy heading, `read everything under Vectors EXCEPT Speed/Ease of Use Tradeoff and Vectorization <../notebooks/class_2/week_2/10_why_numpy.html>`_
- Under the numpy heading, also read everything under `Subsetting Vectors <../notebooks/class_2/week_2/10_why_numpy.html>`_
- `Numbers in Computers <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/ints_and_floats.html>`_
- `Writing Good Notebooks <../notebooks/PDS_not_yet_in_coursera/20_programming_concepts/writing_good_jupyter_notebooks.html>`_","- `Ex 1 <../ids720_specific/exercises/Exercise_git_2.html>`_
- `Ex 2 <../ids720_specific/exercises/Exercise_numpy_vectors.html>`_"
