NAME,POPESTIMATE2016
United States,322941311
Northeast Region,56042330
Midwest Region,67987540
South Region,122351760
West Region,76559681
Alabama,4863525
Alaska,741456
Arizona,6941072
Arkansas,2989918
California,39167117
Colorado,5539215
Connecticut,3578141
Delaware,948921
District of Columbia,685815
Florida,20613477
Georgia,10301890
Hawaii,1427559
Idaho,1682380
Illinois,12820527
Indiana,6634304
Iowa,3131371
Kansas,2910844
Kentucky,4438182
Louisiana,4678135
Maine,1331317
Maryland,6003323
Massachusetts,6823608
Michigan,9950571
Minnesota,5522744
Mississippi,2987938
Missouri,6087135
Montana,1040859
Nebraska,1905616
Nevada,2917563
New Hampshire,1342307
New Jersey,8870827
New Mexico,2091630
New York,19633428
North Carolina,10154788
North Dakota,754434
Ohio,11634370
Oklahoma,3926331
Oregon,4089976
Pennsylvania,12782275
Rhode Island,1056770
South Carolina,4957968
South Dakota,862996
Tennessee,6646010
Texas,27914410
Utah,3041868
Vermont,623657
Virginia,8410106
Washington,7294771
West Virginia,1831023
Wisconsin,5772628
Wyoming,584215
Puerto Rico,3406672
