SEQPLT16,PSTATABB,PNAME,LAT,LON,PLPRMFL,NAMEPCAP,PLNGENAN,PLCO2EQA
1,AK,7-Mile Ridge Wind Project,63.210689,-143.247156,WND,1.80,0.00,0.00
2,AK,Agrium Kenai Nitrogen Operations,60.673200,-151.378400,NG,21.60,0.00,0.00
3,AK,Alakanuk,62.683300,-164.654400,DFO,2.60,1213.00,1049.86
4,AK,Allison Creek Hydro,61.084444,-146.353333,WAT,6.50,881.00,0.00
5,AK,Ambler,67.087980,-157.856719,DFO,1.10,1316.00,1087.88
6,AK,Anchorage 1,61.222100,-149.866100,NG,121.40,45082.00,31902.71
7,AK,Angoon,57.499166,-134.586140,DFO,1.90,1714.00,1429.64
8,AK,Aniak,61.580678,-159.535643,DFO,2.60,2614.00,2167.49
9,AK,Annex Creek,58.317600,-134.101000,WAT,4.00,25644.00,0.00
10,AK,Auke Bay,58.387500,-134.644600,DFO,36.20,8.00,243.96
11,AK,Aurora Energy LLC Chena,64.847743,-147.735063,SUB,31.30,191982.00,191348.94
12,AK,Barrow,71.292000,-156.778600,NG,20.30,50162.00,44205.17
13,AK,Battery Energy Storage System,64.816700,-147.725000,MWH,40.00,-2392.00,0.00
14,AK,Beaver Falls,55.379750,-131.470269,WAT,5.40,42915.00,0.00
15,AK,Beluga,61.186100,-151.035600,NG,374.40,84421.00,89980.70
16,AK,Bernice Lake,60.693500,-151.387400,NG,76.70,12.00,429.17
17,AK,Bethel,60.789700,-161.787778,DFO,12.60,41020.00,32999.69
18,AK,Black Bear Lake,55.476472,-133.147720,WAT,4.50,20763.00,0.00
19,AK,Blue Lake Hydro,57.051600,-135.229700,WAT,22.90,69018.00,0.00
20,AK,Bradley Lake,59.778620,-150.940150,WAT,126.00,430509.00,0.00
21,AK,Brevig Mission,65.331716,-166.479506,DFO,1.50,1137.00,878.45
22,AK,Centennial,55.121433,-131.560267,DFO,3.30,3046.00,3049.63
23,AK,Chester Lake,55.116879,-131.545879,WAT,1.00,4585.00,0.00
24,AK,Chevak,61.525297,-165.590152,DFO,2.80,2471.00,1515.43
25,AK,Cooper Lake,60.392331,-149.665603,WAT,19.40,86666.00,0.00
26,AK,Craig (AK),55.476910,-133.148690,DFO,6.20,431.00,465.32
27,AK,Delta Power,64.028056,-145.719444,DFO,23.10,38.00,298.01
28,AK,Delta Wind Farm,64.013889,-145.596667,WND,1.90,4446.00,0.00
29,AK,Dillingham,59.042914,-158.468597,DFO,10.70,18122.00,14187.37
30,AK,Dutch Harbor,53.892459,-166.538185,DFO,26.00,46918.00,34984.05
31,AK,Eielson AFB Central Heat & Power Plant,64.671410,-147.075988,SUB,33.50,69894.57,41747.39
32,AK,Eklutna Generation Station,61.457778,-149.351389,NG,171.00,819046.00,417887.55
33,AK,Eklutna Hydro Project,61.475211,-149.150090,WAT,44.40,76916.00,0.00
34,AK,Elim,64.616558,-162.263717,DFO,1.60,1278.00,947.99
35,AK,Emmonak,62.777694,-164.531517,DFO,4.80,4654.00,3019.64
36,AK,ESS Battery,57.799167,-152.404167,MWH,3.00,0.00,0.00
37,AK,Eva Creek Wind,64.058333,-148.900000,WND,24.60,73845.00,0.00
38,AK,Fairbanks,64.854171,-147.719351,DFO,42.20,7133.00,12944.38
39,AK,False Island,55.489180,-133.134500,DFO,1.60,689.00,558.57
40,AK,Fire Island Wind,61.130000,-150.243611,WND,18.00,56022.00,0.00
41,AK,Flywheel Energy Storage System,57.780114,-152.443783,MWH,2.00,0.00,0.00
42,AK,Fort Greely Power Plant,63.973572,-145.716581,DFO,10.40,107.80,89.39
43,AK,Galena Electric Utility,64.744170,-156.873600,DFO,8.00,5390.00,4742.37
44,AK,Gambell,63.777058,-171.712439,DFO,1.90,1911.00,1143.19
45,AK,George M Sullivan Generation Plant 2,61.229713,-149.716744,NG,418.00,589738.00,380839.91
46,AK,Glennallen,62.110415,-145.532529,DFO,11.30,10403.00,8335.08
47,AK,Goat Lake Hydro,59.535700,-135.212300,WAT,4.00,16957.00,0.00
48,AK,Gold Creek,58.310700,-134.417400,WAT,9.70,4597.00,9.34
49,AK,Green Lake,56.986284,-135.122750,WAT,18.60,35983.00,0.00
50,AK,Gwitchyaa Zhee,66.566287,-145.253052,DFO,6.00,2554.00,2469.10
51,AK,Haines,59.235931,-135.446228,DFO,7.30,-201.00,101.19
52,AK,Healy,63.854200,-148.950000,LIG,92.80,192475.00,300819.57
53,AK,Hiilangaay Hydro,55.216389,-132.603611,WAT,5.00,0.00,0.00
54,AK,Hoonah,58.106432,-135.430740,DFO,3.40,3348.00,2673.29
55,AK,Hooper Bay,61.530858,-166.101944,DFO,3.30,3326.00,2271.71
56,AK,Humpback Creek,60.612822,-145.679411,WAT,1.20,3743.00,0.00
57,AK,Hydaburg,55.204937,-132.821435,DFO,1.00,-9.00,15.73
58,AK,Industrial Plant,58.367635,-134.608020,DFO,41.70,138.00,1531.41
59,AK,International,61.168972,-149.911038,NG,46.30,-780.00,135.78
