NAME,POPESTIMATE2020
United States,331501080
Northeast Region,57525633
Midwest Region,68935174
South Region,126409007
West Region,78631266
Alabama,5024803
Alaska,732441
Arizona,7177986
Arkansas,3012232
California,39499738
Colorado,5784308
Connecticut,3600260
Delaware,991886
District of Columbia,690093
Florida,21569932
Georgia,10725800
Hawaii,1451911
Idaho,1847772
Illinois,12785245
Indiana,6785644
Iowa,3188669
Kansas,2935880
Kentucky,4503958
Louisiana,4651203
Maine,1362280
Maryland,6172679
Massachusetts,7022220
Michigan,10067664
Minnesota,5707165
Mississippi,2956870
Missouri,6154481
Montana,1086193
Nebraska,1961455
Nevada,3114071
New Hampshire,1377848
New Jersey,9279743
New Mexico,2117566
New York,20154933
North Carolina,10457177
North Dakota,778962
Ohio,11790587
Oklahoma,3962031
Oregon,4241544
Pennsylvania,12989625
Rhode Island,1096229
South Carolina,5130729
South Dakota,887099
Tennessee,6920119
Texas,29217653
Utah,3281684
Vermont,642495
Virginia,8632044
Washington,7718785
West Virginia,1789798
Wisconsin,5892323
Wyoming,577267
Puerto Rico,3281538
