country,population,fertility,life_expectancy,average_daily_income
Afghanistan,42.2,3.65,64,3.1
Angola,36.7,5.21,65.9,4.63
Albania,2.83,1.7,77.3,16.9
UAE,9.52,1.65,74.6,82.9
Argentina,45.8,2.19,77.3,21.3
Armenia,2.78,1.58,76.5,9.41
Australia,26.4,1.8,83.5,67.6
Austria,8.96,1.57,82.8,71.5
Azerbaijan,10.4,1.98,71.5,20.2
Burundi,13.2,5.14,64,1.97
Belgium,11.7,1.81,82,64
Benin,13.7,4.51,64.5,5.4
Burkina Faso,23.3,4.8,62.2,4.57
Bangladesh,173,1.93,75.8,5.19
Bulgaria,6.69,1.65,71.2,37.7
Bahrain,1.49,1.88,77.7,53.3
Bosnia and Herzegovina,3.21,1.45,75.9,33.1
Belarus,9.5,1.76,74.8,18.4
Bolivia,12.4,2.63,73,20
Brazil,216,1.65,76.7,20.1
Botswana,2.68,2.46,62.8,10.2
Central African Republic,5.74,4.35,52.8,2.21
Canada,38.8,1.56,82.8,64.7
Switzerland,8.8,1.57,84.6,78.7
Chile,19.6,1.73,81,28.4
China,1430,1.67,78.4,16
Cote d'Ivoire,28.9,4.49,65.1,6.56
Cameroon,28.6,4.26,63.7,6.17
"Congo, Dem. Rep.",102,5.42,65.4,2.63
"Congo, Rep.",6.11,4.26,66,3.04
Colombia,52.1,1.74,81,15.2
Costa Rica,5.21,1.7,80.9,25.3
Cuba,11.2,1.73,79.4,11.2
Cyprus,1.26,1.35,81.5,58.8
Czech Republic,10.5,1.64,80,42.6
Germany,83.3,1.51,81.8,65.1
Djibouti,1.14,2.49,67.5,6.32
Algeria,45.6,2.42,77.1,9.5
Denmark,5.91,1.79,81.7,70.3
Dominican Republic,11.3,2.23,74,14.9
Ecuador,18.2,2.31,77.2,15.2
Egypt,113,2.95,70.4,7.49
Eritrea,3.75,3.67,63.8,3.39
Spain,47.5,1.45,83.6,53.1
Estonia,1.32,1.71,78.7,44.2
Ethiopia,127,3.47,69.7,5.31
Finland,5.55,1.79,82.5,60.8
France,64.8,1.97,83.5,63
Gabon,2.44,3.38,67.4,12.1
UK,67.7,1.87,81.7,61.6
Georgia,3.73,1.94,72.4,8.84
Ghana,34.1,3.61,66.1,5.93
Guinea,14.2,4.34,61.1,4.96
