Year,Life Expectancy
1770,28.5
1800,28.5
1820,29
1850,29.3
1870,29.7
1900,32
1913,34.1
1950,46.4643
1951,47.144
1952,48.2311
1953,48.8024
1954,49.5919
1955,50.1229
1956,50.6425
1957,50.9448
1958,51.537
1959,49.3453
1960,47.6972
1961,50.3587
1962,53.1245
1963,53.5761
1964,54.1638
1965,53.8924
1966,54.472
1967,54.9203
1968,55.486
1969,55.8286
1970,56.112
1971,55.8924
1972,57.1231
1973,57.6327
1974,58.0422
1975,58.2754
1976,58.7107
1977,59.3652
1978,59.7402
1979,60.2037
1980,60.5524
1981,60.9915
1982,61.4165
1983,61.5651
1984,61.907
1985,62.2356
1986,62.7665
1987,63.1585
1988,63.2806
1989,63.7919
1990,63.9879
1991,64.0583
1992,64.3027
1993,64.4369
1994,64.4588
1995,64.8766
1996,65.1429
1997,65.5007
1998,65.7215
1999,66.0735
2000,66.4525
2001,66.8336
2002,67.1373
2003,67.46
2004,67.8074
2005,68.2047
2006,68.7027
2007,69.0508
2008,69.3014
2009,69.7965
2010,70.1088
2011,70.5303
2012,70.8725
2013,71.2072
2014,71.5649
2015,71.8004
2016,72.1102
2017,72.3267
2018,72.5759
2019,72.7897
2020,72.0361
2021,71.0479
