Year,Incomplete Primary,Primary or higher
1950,961534260,710913700
1955,975580340,817201700
1960,983163090,932172320
1965,995507410,1087306100
1970,1026979040,1294675200
1975,1056912000,1531492000
1980,1087448360,1811886760
1985,1115585240,2128832550
1990,1131274540,2451668900
1995,1150370100,2776772460
2000,1162295600,3140948340
2005,1162709280,3554268310
2010,1149121000,3959164000
2015,1121178460,4331272500
2020,1085167010,4722186500
2025,1035534500,5133424900
2030,991458220,5537023350
2035,938568900,5909913170
2040,878013200,6252119000
2045,811707680,6556889700
2050,741507990,6828842800
2055,668945700,7071812300
2060,596068080,7286102900
2065,524605710,7468115800
2070,456145410,7613874100
2075,392041790,7721743800
2080,332955600,7794173400
2085,279442800,7836522820
2090,231680696,7854357400
2095,189669700,7850659420
2100,153210400,7824740500
