country,population,country,fertility,country,life_expectancy,country,average_daily_income
Afghanistan,42.2M,Afghanistan,3.65,Afghanistan,64,Afghanistan,3.1
Angola,36.7M,Angola,5.21,Angola,65.9,Angola,4.63
Albania,2.83M,Albania,1.7,Albania,77.3,Albania,16.9
UAE,9.52M,UAE,1.65,UAE,74.6,UAE,82.9
Argentina,45.8M,Argentina,2.19,Argentina,77.3,Argentina,21.3
Armenia,2.78M,Armenia,1.58,Armenia,76.5,Armenia,9.41
Antigua and Barbuda,94.3k,Antigua and Barbuda,1.98,Antigua and Barbuda,77,Antigua and Barbuda,22
Australia,26.4M,Australia,1.8,Australia,83.5,Australia,67.6
Austria,8.96M,Austria,1.57,Austria,82.8,Austria,71.5
Azerbaijan,10.4M,Azerbaijan,1.98,Azerbaijan,71.5,Azerbaijan,20.2
Burundi,13.2M,Burundi,5.14,Burundi,64,Burundi,1.97
Belgium,11.7M,Belgium,1.81,Belgium,82,Belgium,64
Benin,13.7M,Benin,4.51,Benin,64.5,Benin,5.4
Burkina Faso,23.3M,Burkina Faso,4.8,Burkina Faso,62.2,Burkina Faso,4.57
Bangladesh,173M,Bangladesh,1.93,Bangladesh,75.8,Bangladesh,5.19
Bulgaria,6.69M,Bulgaria,1.65,Bulgaria,71.2,Bulgaria,37.7
Bahrain,1.49M,Bahrain,1.88,Bahrain,77.7,Bahrain,53.3
Bahamas,413k,Bahamas,1.72,Bahamas,76.8,Bahamas,34.9
Bosnia and Herzegovina,3.21M,Bosnia and Herzegovina,1.45,Bosnia and Herzegovina,75.9,Bosnia and Herzegovina,33.1
Belarus,9.5M,Belarus,1.76,Belarus,74.8,Belarus,18.4
Belize,411k,Belize,2.3,Belize,75.2,Belize,9.46
Bolivia,12.4M,Bolivia,2.63,Bolivia,73,Bolivia,20
Brazil,216M,Brazil,1.65,Brazil,76.7,Brazil,20.1
Barbados,282k,Barbados,1.81,Barbados,76.8,Barbados,15.9
Brunei,453k,Brunei,1.8,Brunei,74.2,Brunei,60.7
Bhutan,787k,Bhutan,1.86,Bhutan,74.3,Bhutan,16.4
Botswana,2.68M,Botswana,2.46,Botswana,62.8,Botswana,10.2
Central African Republic,5.74M,Central African Republic,4.35,Central African Republic,52.8,Central African Republic,2.21
Canada,38.8M,Canada,1.56,Canada,82.8,Canada,64.7
Switzerland,8.8M,Switzerland,1.57,Switzerland,84.6,Switzerland,78.7
Chile,19.6M,Chile,1.73,Chile,81,Chile,28.4
China,1.43B,China,1.67,China,78.4,China,16
Cote d'Ivoire,28.9M,Cote d'Ivoire,4.49,Cote d'Ivoire,65.1,Cote d'Ivoire,6.56
Cameroon,28.6M,Cameroon,4.26,Cameroon,63.7,Cameroon,6.17
"Congo, Dem. Rep.",102M,"Congo, Dem. Rep.",5.42,"Congo, Dem. Rep.",65.4,"Congo, Dem. Rep.",2.63
"Congo, Rep.",6.11M,"Congo, Rep.",4.26,"Congo, Rep.",66,"Congo, Rep.",3.04
Colombia,52.1M,Colombia,1.74,Colombia,81,Colombia,15.2
Comoros,852k,Comoros,3.89,Comoros,69.8,Comoros,6.51
Cape Verde,599k,Cape Verde,2.12,Cape Verde,74.6,Cape Verde,11.3
Costa Rica,5.21M,Costa Rica,1.7,Costa Rica,80.9,Costa Rica,25.3
Cuba,11.2M,Cuba,1.73,Cuba,79.4,Cuba,11.2
Cyprus,1.26M,Cyprus,1.35,Cyprus,81.5,Cyprus,58.8
Czech Republic,10.5M,Czech Republic,1.64,Czech Republic,80,Czech Republic,42.6
Germany,83.3M,Germany,1.51,Germany,81.8,Germany,65.1
Djibouti,1.14M,Djibouti,2.49,Djibouti,67.5,Djibouti,6.32
Algeria,45.6M,Algeria,2.42,Algeria,77.1,Algeria,9.5
Denmark,5.91M,Denmark,1.79,Denmark,81.7,Denmark,70.3
Dominican Republic,11.3M,Dominican Republic,2.23,Dominican Republic,74,Dominican Republic,14.9
Ecuador,18.2M,Ecuador,2.31,Ecuador,77.2,Ecuador,15.2
Egypt,113M,Egypt,2.95,Egypt,70.4,Egypt,7.49
Eritrea,3.75M,Eritrea,3.67,Eritrea,63.8,Eritrea,3.39
Spain,47.5M,Spain,1.45,Spain,83.6,Spain,53.1
Estonia,1.32M,Estonia,1.71,Estonia,78.7,Estonia,44.2
Ethiopia,127M,Ethiopia,3.47,Ethiopia,69.7,Ethiopia,5.31
Finland,5.55M,Finland,1.79,Finland,82.5,Finland,60.8
Fiji,936k,Fiji,2.36,Fiji,68.9,Fiji,7.63
France,64.8M,France,1.97,France,83.5,France,63
"Micronesia, Fed. Sts.",115k,"Micronesia, Fed. Sts.",2.85,"Micronesia, Fed. Sts.",64.3,"Micronesia, Fed. Sts.",5.49
Gabon,2.44M,Gabon,3.38,Gabon,67.4,Gabon,12.1
UK,67.7M,UK,1.87,UK,81.7,UK,61.6
Georgia,3.73M,Georgia,1.94,Georgia,72.4,Georgia,8.84
Ghana,34.1M,Ghana,3.61,Ghana,66.1,Ghana,5.93
Guinea,14.2M,Guinea,4.34,Guinea,61.1,Guinea,4.96
Gambia,2.77M,Gambia,4.92,Gambia,67.1,Gambia,5.42
Guinea-Bissau,2.15M,Guinea-Bissau,4.13,Guinea-Bissau,60.6,Guinea-Bissau,4.31
Equatorial Guinea,1.71M,Equatorial Guinea,4.1,Equatorial Guinea,66.3,Equatorial Guinea,13.6
Greece,10.3M,Greece,1.32,Greece,81.7,Greece,34.3
Grenada,126k,Grenada,1.97,Grenada,73.9,Grenada,15.1
Guatemala,18.1M,Guatemala,2.65,Guatemala,69.6,Guatemala,11
Guyana,814k,Guyana,2.35,Guyana,68,Guyana,48.9
"Hong Kong, China",7.49M,"Hong Kong, China",1.43,"Hong Kong, China",0,"Hong Kong, China",63.1
Honduras,10.6M,Honduras,2.23,Honduras,72.7,Honduras,10.4
Croatia,4.01M,Croatia,1.45,Croatia,79.3,Croatia,39.4
