Year,Share of population aged 15+ illiterate,Share of population aged 15+ literate
1820,87.95331,12.046689
1870,81.259445,18.740555
1880,80.371544,19.628456
1890,79.48364,20.516357
1900,78.59574,21.404259
1910,73.5544,26.445602
1920,68.37684,31.623163
1930,67.47237,32.52763
1940,58.120777,41.879223
1950,64.04062,35.959377
1960,58.379623,41.620377
1970,44.377384,55.622616
1980,43.947437,56.052563
1990,31.749153,68.25085
2000,19.215118,80.78488
2006,17.536346,82.46365
2007,17.071938,82.92806
2008,16.74334,83.25666
2009,16.486801,83.5132
2010,15.839996,84.16
2011,15.677353,84.32265
2012,15.238937,84.76106
2013,15.139862,84.86014
2014,14.566292,85.43371
2015,14.39817,85.60183
2016,13.938843,86.06116
2017,13.711769,86.28823
2018,13.66095,86.33905
2019,13.510399,86.4896
2020,13.28849,86.71151
2021,13.147247,86.85275
2022,12.988251,87.01175
