Year,Less than $5 a day,More than $5 a day
1820,963902821,37204386
1830,1033625583,41704362
1840,1078834811,47288618
1850,1118798973,53429871
1860,1125366915,65540610
1870,1154771783,80174994
1880,1210396001,101881012
1890,1284826612,138488692
1900,1354441246,178213793
1910,1472930679,239860842
1920,1554735881,295090225
1930,1656711866,358332443
1940,1808693144,425075261
1950,1989462512,537453712
1960,2243251770,798724204
1970,2519266175,1165602819
1980,2849915854,1602688067
1981,2903735402,1614772651
1982,2959895066,1632799372
1983,3040408257,1640890834
1984,3096434928,1666048898
1985,3143750729,1700346953
1986,3166715111,1755452412
1987,3227396070,1774014513
1988,3282439339,1801627342
1989,3362681846,1817137698
1990,3423497794,1851656887
1991,3484533935,1867476456
1992,3559062103,1887857097
1993,3635827443,1894414659
1994,3674824363,1924327357
1995,3699065486,1984356395
1996,3740990561,2034834994
1997,3776404298,2082159580
1998,3822668460,2117055963
1999,3875981517,2149358027
2000,3877076090,2252759092
2001,3860706911,2339343215
2002,3810694564,2454760695
2003,3818167767,2537320118
2004,3753012607,2660826007
2005,3708578035,2809662393
2006,3659943608,2926383126
2007,3594553128,3084996902
2008,3584508885,3187756889
2009,3555913834,3302592007
2010,3476667577,3463579426
2011,3409088263,3634778767
2012,3346399045,3771229802
2013,3221758603,3988097333
2014,3161603333,4149134075
2015,3163465362,4285056929
2016,3138071486,4398713695
2017,3186780656,4532397080
2018,3153028435,4673211986
