bill_length_mm,flipper_length_mm
39.1,181
39.5,186
40.3,195
36.7,193
39.3,190
38.9,181
39.2,195
34.1,193
42,190
37.8,186
37.8,180
41.1,182
38.6,191
34.6,198
36.6,185
38.7,195
42.5,197
34.4,184
46,194
37.8,174
37.7,180
35.9,189
38.2,185
38.8,180
35.3,187
40.6,183
40.5,187
37.9,172
40.5,180
39.5,178
37.2,178
39.5,188
40.9,184
36.4,195
39.2,196
38.8,190
42.2,180
37.6,181
39.8,184
36.5,182
40.8,195
36,186
44.1,196
37,185
39.6,190
41.1,182
37.5,179
36,190
42.3,191
39.6,186
40.1,188
35,190
42,200
34.5,187
41.4,191
39,186
40.6,193
36.5,181
37.6,194
35.7,185
41.3,195
37.6,185
41.1,192
36.4,184
41.6,192
35.5,195
41.1,188
35.9,190
41.8,198
33.5,190
39.7,190
39.6,196
45.8,197
35.5,190
42.8,195
40.9,191
37.2,184
36.2,187
42.1,195
34.6,189
42.9,196
36.7,187
35.1,193
37.3,191
41.3,194
36.3,190
36.9,189
38.3,189
38.9,190
35.7,202
41.1,205
34,185
39.6,186
36.2,187
40.8,208
38.1,190
40.3,196
33.1,178
43.2,192
35,192
41,203
37.7,183
37.8,190
37.9,193
39.7,184
38.6,199
38.2,190
38.1,181
43.2,197
38.1,198
45.6,191
39.7,193
42.2,197
39.6,191
42.7,196
38.6,188
37.3,199
35.7,189
41.1,189
36.2,187
37.7,198
40.2,176
41.4,202
35.2,186
40.6,199
38.8,191
41.5,195
39,191
44.1,210
38.5,190
43.1,197
36.8,193
37.5,199
38.1,187
41.1,190
35.6,191
40.2,200
37,185
39.7,193
40.2,193
40.6,187
32.1,188
40.7,190
37.3,192
39,185
39.2,190
36.6,184
36,195
37.8,193
36,187
41.5,201
46.5,192
50,196
51.3,193
45.4,188
52.7,197
45.2,198
46.1,178
51.3,197
46,195
51.3,198
46.6,193
51.7,194
47,185
52,201
45.9,190
50.5,201
50.3,197
58,181
46.4,190
49.2,195
42.4,181
48.5,191
43.2,187
50.6,193
46.7,195
52,197
50.5,200
49.5,200
46.4,191
52.8,205
40.9,187
54.2,201
42.5,187
51,203
49.7,195
47.5,199
47.6,195
52,210
46.9,192
53.5,205
49,210
46.2,187
50.9,196
45.5,196
50.9,196
50.8,201
50.1,190
49,212
51.5,187
49.8,198
48.1,199
51.4,201
45.7,193
50.7,203
42.5,187
52.2,197
45.2,191
49.3,203
50.2,202
45.6,194
51.9,206
46.8,189
45.7,195
55.8,207
43.5,202
49.6,193
50.8,210
50.2,198
46.1,211
50,230
48.7,210
50,218
47.6,215
46.5,210
45.4,211
46.7,219
43.3,209
46.8,215
40.9,214
49,216
45.5,214
48.4,213
45.8,210
49.3,217
42,210
49.2,221
46.2,209
48.7,222
50.2,218
45.1,215
46.5,213
46.3,215
42.9,215
46.1,215
44.5,216
47.8,215
48.2,210
50,220
47.3,222
42.8,209
45.1,207
59.6,230
49.1,220
48.4,220
42.6,213
44.4,219
44,208
48.7,208
42.7,208
49.6,225
45.3,210
49.6,216
50.5,222
43.6,217
45.5,210
50.5,225
44.9,213
45.2,215
46.6,210
48.5,220
45.1,210
50.1,225
46.5,217
45,220
43.8,208
45.5,220
43.2,208
50.4,224
45.3,208
46.2,221
45.7,214
54.3,231
45.8,219
49.8,230
46.2,214
49.5,229
43.5,220
50.7,223
47.7,216
46.4,221
48.2,221
46.5,217
46.4,216
48.6,230
47.5,209
51.1,220
45.2,215
45.2,223
49.1,212
52.5,221
47.4,212
50,224
44.9,212
50.8,228
43.4,218
51.3,218
47.5,212
52.1,230
47.5,218
52.2,228
45.5,212
49.5,224
44.5,214
50.8,226
49.4,216
46.9,222
48.4,203
51.1,225
48.5,219
55.9,228
47.2,215
49.1,228
47.3,216
46.8,215
41.7,210
53.4,219
43.3,208
48.1,209
50.5,216
49.8,229
43.5,213
51.5,230
46.2,217
55.1,230
44.5,217
48.8,222
47.2,214
46.8,215
50.4,222
45.2,212
49.9,213
