Year,Less than 10%,More than 10%
1900,100,0
1901,100,0
1902,100,0
1903,100,0
1904,100,0
1905,100,0
1906,100,0
1907,98.33333333,1.666666667
1908,98.36065574,1.639344262
1909,98.41269841,1.587301587
1910,98.38709677,1.612903226
1911,98.38709677,1.612903226
1912,98.41269841,1.587301587
1913,98.38709677,1.612903226
1914,98.36065574,1.639344262
1915,98.36065574,1.639344262
1916,98.33333333,1.666666667
1917,98.27586207,1.724137931
1918,95.08196721,4.918032787
1919,93.84615385,6.153846154
1920,93.75,6.25
1921,86.76470588,13.23529412
1922,87.32394366,12.67605634
1923,87.14285714,12.85714286
1924,88.57142857,11.42857143
1925,89.18918919,10.81081081
1926,89.04109589,10.95890411
1927,87.83783784,12.16216216
1928,88,12
1929,89.33333333,10.66666667
1930,89.04109589,10.95890411
1931,86.48648649,13.51351351
1932,87.65432099,12.34567901
1933,85.52631579,14.47368421
1934,85.13513514,14.86486486
1935,83.56164384,16.43835616
1936,81.94444444,18.05555556
1937,81.69014085,18.30985915
1938,82.66666667,17.33333333
1939,81.42857143,18.57142857
1940,83.33333333,16.66666667
1941,84.61538462,15.38461538
1942,82.53968254,17.46031746
1943,81.66666667,18.33333333
1944,80.95238095,19.04761905
1945,69.11764706,30.88235294
1946,59.77011494,40.22988506
1947,63.82978723,36.17021277
1948,64.64646465,35.35353535
1949,62.13592233,37.86407767
1950,59.81308411,40.18691589
1951,60.55045872,39.44954128
1952,56.63716814,43.36283186
1953,55.45454545,44.54545455
1954,54.54545455,45.45454545
1955,55.85585586,44.14414414
1956,52.25225225,47.74774775
1957,50.87719298,49.12280702
1958,49.54954955,50.45045045
1959,47.27272727,52.72727273
1960,46.90265487,53.09734513
1961,47.45762712,52.54237288
1962,46.15384615,53.84615385
1963,40.6779661,59.3220339
1964,38.13559322,61.86440678
1965,31.93277311,68.06722689
1966,29.05982906,70.94017094
1967,29.31034483,70.68965517
1968,30.43478261,69.56521739
1969,29.72972973,70.27027027
1970,29.09090909,70.90909091
1971,26.12612613,73.87387387
1972,27.82608696,72.17391304
1973,26.01626016,73.98373984
1974,22.95081967,77.04918033
1975,18.96551724,81.03448276
1976,17.39130435,82.60869565
1977,18.26086957,81.73913043
1978,18.33333333,81.66666667
1979,16.8,83.2
1980,13.49206349,86.50793651
1981,13.28125,86.71875
1982,11.53846154,88.46153846
1983,10.76923077,89.23076923
1984,10.52631579,89.47368421
1985,11.02941176,88.97058824
1986,9.558823529,90.44117647
1987,9.489051095,90.51094891
1988,8.823529412,91.17647059
1989,8.02919708,91.97080292
1990,14.56953642,85.43046358
1991,7.947019868,92.05298013
1992,8.974358974,91.02564103
1993,6.832298137,93.16770186
1994,6.832298137,93.16770186
1995,6.790123457,93.20987654
1996,5.555555556,94.44444444
1997,4.90797546,95.09202454
1998,5.487804878,94.51219512
1999,4.968944099,95.0310559
2000,4.402515723,95.59748428
2001,4.938271605,95.0617284
2002,4.294478528,95.70552147
2003,4.294478528,95.70552147
2004,4.191616766,95.80838323
2005,3.012048193,96.98795181
2006,2.941176471,97.05882353
2007,2.941176471,97.05882353
2008,2.958579882,97.04142012
2009,2.976190476,97.02380952
2010,2.941176471,97.05882353
2011,2.339181287,97.66081871
2012,2.352941176,97.64705882
2013,2.352941176,97.64705882
2014,1.724137931,98.27586207
2015,2.285714286,97.71428571
2016,2.285714286,97.71428571
2017,2.272727273,97.72727273
2018,2.272727273,97.72727273
2019,1.714285714,98.28571429
2020,1.714285714,98.28571429
2021,2.339181287,97.66081871
2022,1.754385965,98.24561404
2023,0.588235294,99.41176471
