Entity,Code,Year,World Region according to the World Bank
Afghanistan,AFG,2017,South Asia
Albania,ALB,2017,Europe and Central Asia
Algeria,DZA,2017,Middle East and North Africa
American Samoa,ASM,2017,East Asia and Pacific
Andorra,AND,2017,Europe and Central Asia
Angola,AGO,2017,Sub-Saharan Africa
Antigua and Barbuda,ATG,2017,Latin America and Caribbean
Argentina,ARG,2017,Latin America and Caribbean
Armenia,ARM,2017,Europe and Central Asia
Aruba,ABW,2017,Latin America and Caribbean
Australia,AUS,2017,East Asia and Pacific
Austria,AUT,2017,Europe and Central Asia
Azerbaijan,AZE,2017,Europe and Central Asia
Bahamas,BHS,2017,Latin America and Caribbean
Bahrain,BHR,2017,Middle East and North Africa
Bangladesh,BGD,2017,South Asia
Barbados,BRB,2017,Latin America and Caribbean
Belarus,BLR,2017,Europe and Central Asia
Belgium,BEL,2017,Europe and Central Asia
Belize,BLZ,2017,Latin America and Caribbean
Benin,BEN,2017,Sub-Saharan Africa
Bermuda,BMU,2017,North America
Bhutan,BTN,2017,South Asia
Bolivia,BOL,2017,Latin America and Caribbean
Bosnia and Herzegovina,BIH,2017,Europe and Central Asia
Botswana,BWA,2017,Sub-Saharan Africa
Brazil,BRA,2017,Latin America and Caribbean
British Virgin Islands,VGB,2017,Latin America and Caribbean
Brunei,BRN,2017,East Asia and Pacific
Bulgaria,BGR,2017,Europe and Central Asia
Burkina Faso,BFA,2017,Sub-Saharan Africa
Burundi,BDI,2017,Sub-Saharan Africa
Cambodia,KHM,2017,East Asia and Pacific
Cameroon,CMR,2017,Sub-Saharan Africa
Canada,CAN,2017,North America
Cape Verde,CPV,2017,Sub-Saharan Africa
Cayman Islands,CYM,2017,Latin America and Caribbean
Central African Republic,CAF,2017,Sub-Saharan Africa
Chad,TCD,2017,Sub-Saharan Africa
Channel Islands,OWID_CIS,2017,Europe and Central Asia
Chile,CHL,2017,Latin America and Caribbean
China,CHN,2017,East Asia and Pacific
Colombia,COL,2017,Latin America and Caribbean
Comoros,COM,2017,Sub-Saharan Africa
"Congo, Rep.",COG,2017,Sub-Saharan Africa
Costa Rica,CRI,2017,Latin America and Caribbean
Cote d'Ivoire,CIV,2017,Sub-Saharan Africa
Croatia,HRV,2017,Europe and Central Asia
Cuba,CUB,2017,Latin America and Caribbean
Curacao,CUW,2017,Latin America and Caribbean
Cyprus,CYP,2017,Europe and Central Asia
Czechia,CZE,2017,Europe and Central Asia
"Congo, Dem. Rep.",COD,2017,Sub-Saharan Africa
Denmark,DNK,2017,Europe and Central Asia
Djibouti,DJI,2017,Middle East and North Africa
Dominica,DMA,2017,Latin America and Caribbean
Dominican Republic,DOM,2017,Latin America and Caribbean
Timor-Leste,TLS,2017,East Asia and Pacific
Ecuador,ECU,2017,Latin America and Caribbean
Egypt,EGY,2017,Middle East and North Africa
El Salvador,SLV,2017,Latin America and Caribbean
Equatorial Guinea,GNQ,2017,Sub-Saharan Africa
Eritrea,ERI,2017,Sub-Saharan Africa
Estonia,EST,2017,Europe and Central Asia
Eswatini,SWZ,2017,Sub-Saharan Africa
Ethiopia,ETH,2017,Sub-Saharan Africa
Faroe Islands,FRO,2017,Europe and Central Asia
Fiji,FJI,2017,East Asia and Pacific
Finland,FIN,2017,Europe and Central Asia
France,FRA,2017,Europe and Central Asia
French Polynesia,PYF,2017,East Asia and Pacific
Gabon,GAB,2017,Sub-Saharan Africa
"Gambia, The",GMB,2017,Sub-Saharan Africa
Georgia,GEO,2017,Europe and Central Asia
Germany,DEU,2017,Europe and Central Asia
Ghana,GHA,2017,Sub-Saharan Africa
Gibraltar,GIB,2017,Europe and Central Asia
Greece,GRC,2017,Europe and Central Asia
Greenland,GRL,2017,Europe and Central Asia
Grenada,GRD,2017,Latin America and Caribbean
Guam,GUM,2017,East Asia and Pacific
Guatemala,GTM,2017,Latin America and Caribbean
Guinea,GIN,2017,Sub-Saharan Africa
Guinea-Bissau,GNB,2017,Sub-Saharan Africa
Guyana,GUY,2017,Latin America and Caribbean
Haiti,HTI,2017,Latin America and Caribbean
Honduras,HND,2017,Latin America and Caribbean
Hong Kong,HKG,2017,East Asia and Pacific
Hungary,HUN,2017,Europe and Central Asia
Iceland,ISL,2017,Europe and Central Asia
India,IND,2017,South Asia
Indonesia,IDN,2017,East Asia and Pacific
Iran,IRN,2017,Middle East and North Africa
Iraq,IRQ,2017,Middle East and North Africa
Ireland,IRL,2017,Europe and Central Asia
Isle of Man,IMN,2017,Europe and Central Asia
Israel,ISR,2017,Middle East and North Africa
Italy,ITA,2017,Europe and Central Asia
Jamaica,JAM,2017,Latin America and Caribbean
Japan,JPN,2017,East Asia and Pacific
Jordan,JOR,2017,Middle East and North Africa
Kazakhstan,KAZ,2017,Europe and Central Asia
Kenya,KEN,2017,Sub-Saharan Africa
Kiribati,KIR,2017,East Asia and Pacific
Kosovo,OWID_KOS,2017,Europe and Central Asia
Kuwait,KWT,2017,Middle East and North Africa
Kyrgyz Republic,KGZ,2017,Europe and Central Asia
Lao PDR,LAO,2017,East Asia and Pacific
Latvia,LVA,2017,Europe and Central Asia
Lebanon,LBN,2017,Middle East and North Africa
Lesotho,LSO,2017,Sub-Saharan Africa
Liberia,LBR,2017,Sub-Saharan Africa
Libya,LBY,2017,Middle East and North Africa
Liechtenstein,LIE,2017,Europe and Central Asia
Lithuania,LTU,2017,Europe and Central Asia
Luxembourg,LUX,2017,Europe and Central Asia
Macao,MAC,2017,East Asia and Pacific
Madagascar,MDG,2017,Sub-Saharan Africa
Malawi,MWI,2017,Sub-Saharan Africa
Malaysia,MYS,2017,East Asia and Pacific
Maldives,MDV,2017,South Asia
Mali,MLI,2017,Sub-Saharan Africa
Malta,MLT,2017,Middle East and North Africa
Marshall Islands,MHL,2017,East Asia and Pacific
Mauritania,MRT,2017,Sub-Saharan Africa
Mauritius,MUS,2017,Sub-Saharan Africa
Mexico,MEX,2017,Latin America and Caribbean
"Micronesia, Fed. Sts.",,2017,East Asia and Pacific
Moldova,MDA,2017,Europe and Central Asia
Monaco,MCO,2017,Europe and Central Asia
Mongolia,MNG,2017,East Asia and Pacific
Montenegro,MNE,2017,Europe and Central Asia
Morocco,MAR,2017,Middle East and North Africa
Mozambique,MOZ,2017,Sub-Saharan Africa
Myanmar,MMR,2017,East Asia and Pacific
Namibia,NAM,2017,Sub-Saharan Africa
Nauru,NRU,2017,East Asia and Pacific
Nepal,NPL,2017,South Asia
Netherlands,NLD,2017,Europe and Central Asia
New Caledonia,NCL,2017,East Asia and Pacific
New Zealand,NZL,2017,East Asia and Pacific
Nicaragua,NIC,2017,Latin America and Caribbean
Niger,NER,2017,Sub-Saharan Africa
Nigeria,NGA,2017,Sub-Saharan Africa
North Korea,PRK,2017,East Asia and Pacific
North Macedonia,MKD,2017,Europe and Central Asia
Northern Mariana Islands,MNP,2017,East Asia and Pacific
Norway,NOR,2017,Europe and Central Asia
Oman,OMN,2017,Middle East and North Africa
Pakistan,PAK,2017,South Asia
Palau,PLW,2017,East Asia and Pacific
Palestine,PSE,2017,Middle East and North Africa
Panama,PAN,2017,Latin America and Caribbean
Papua New Guinea,PNG,2017,East Asia and Pacific
Paraguay,PRY,2017,Latin America and Caribbean
Peru,PER,2017,Latin America and Caribbean
Philippines,PHL,2017,East Asia and Pacific
Poland,POL,2017,Europe and Central Asia
Portugal,PRT,2017,Europe and Central Asia
Puerto Rico,PRI,2017,Latin America and Caribbean
Qatar,QAT,2017,Middle East and North Africa
Romania,ROU,2017,Europe and Central Asia
Russia,RUS,2017,Europe and Central Asia
Rwanda,RWA,2017,Sub-Saharan Africa
Saint Kitts and Nevis,KNA,2017,Latin America and Caribbean
St. Lucia,LCA,2017,Latin America and Caribbean
Saint Martin (French part),MAF,2017,Latin America and Caribbean
St. Vincent and the Grenadines,VCT,2017,Latin America and Caribbean
Samoa,WSM,2017,East Asia and Pacific
San Marino,SMR,2017,Europe and Central Asia
Sao Tome and Principe,STP,2017,Sub-Saharan Africa
Saudi Arabia,SAU,2017,Middle East and North Africa
Senegal,SEN,2017,Sub-Saharan Africa
Serbia,SRB,2017,Europe and Central Asia
Seychelles,SYC,2017,Sub-Saharan Africa
Sierra Leone,SLE,2017,Sub-Saharan Africa
Singapore,SGP,2017,East Asia and Pacific
Sint Maarten (Dutch part),SXM,2017,Latin America and Caribbean
Slovakia,SVK,2017,Europe and Central Asia
Slovenia,SVN,2017,Europe and Central Asia
Solomon Islands,SLB,2017,East Asia and Pacific
Somalia,SOM,2017,Sub-Saharan Africa
South Africa,ZAF,2017,Sub-Saharan Africa
South Korea,KOR,2017,East Asia and Pacific
South Sudan,SSD,2017,Sub-Saharan Africa
Spain,ESP,2017,Europe and Central Asia
Sri Lanka,LKA,2017,South Asia
Sudan,SDN,2017,Sub-Saharan Africa
Suriname,SUR,2017,Latin America and Caribbean
Sweden,SWE,2017,Europe and Central Asia
Switzerland,CHE,2017,Europe and Central Asia
Syria,SYR,2017,Middle East and North Africa
Tajikistan,TJK,2017,Europe and Central Asia
Tanzania,TZA,2017,Sub-Saharan Africa
Thailand,THA,2017,East Asia and Pacific
Togo,TGO,2017,Sub-Saharan Africa
Tonga,TON,2017,East Asia and Pacific
Trinidad and Tobago,TTO,2017,Latin America and Caribbean
Tunisia,TUN,2017,Middle East and North Africa
Turkey,TUR,2017,Europe and Central Asia
Turkmenistan,TKM,2017,Europe and Central Asia
Turks and Caicos Islands,TCA,2017,Latin America and Caribbean
Tuvalu,TUV,2017,East Asia and Pacific
Uganda,UGA,2017,Sub-Saharan Africa
Ukraine,UKR,2017,Europe and Central Asia
United Arab Emirates,ARE,2017,Middle East and North Africa
United Kingdom,GBR,2017,Europe and Central Asia
United States,USA,2017,North America
United States Virgin Islands,VIR,2017,Latin America and Caribbean
Uruguay,URY,2017,Latin America and Caribbean
Uzbekistan,UZB,2017,Europe and Central Asia
Vanuatu,VUT,2017,East Asia and Pacific
Venezuela,VEN,2017,Latin America and Caribbean
Vietnam,VNM,2017,East Asia and Pacific
"Yemen, Rep.",YEM,2017,Middle East and North Africa
Zambia,ZMB,2017,Sub-Saharan Africa
Zimbabwe,ZWE,2017,Sub-Saharan Africa
