country,co2,income,population,continent,,,,Count,Pop
Zimbabwe,0.85,3920,14400000,Africa,,,Africa,54,1274243100
Zambia,0.302,3520,17400000,Africa,,,Americas,35,1000924300
Uganda,0.135,2130,42700000,Africa,,,Asia,64,4599994500
Tunisia,2.73,11400,11600000,Africa,,,Europe,40,746185000
Tanzania,0.222,2590,56300000,Africa,,,,,
Libya,8.09,15000,6680000,Africa,,,,,
Sudan,0.504,4370,41800000,Africa,,,,,
South Sudan,0.171,2010,11000000,Africa,,,,,
Seychelles,6.75,27500,97100,Africa,,,,,
South Africa,8.1,13900,57800000,Africa,,,,,
Somalia,0.0466,1130,15000000,Africa,,,,,
Senegal,0.739,3310,15900000,Africa,,,,,
Mauritius,3.83,22200,1270000,Africa,,,,,
Equatorial Guinea,4.35,20400,1310000,Africa,,,,,
Rwanda,0.0913,2090,12300000,Africa,,,,,
Botswana,2.96,16200,2250000,Africa,,,,,
Gabon,2.53,14700,2120000,Africa,,,,,
Nigeria,0.65,5160,196000000,Africa,,,,,
Niger,0.103,1200,22400000,Africa,,,,,
Mozambique,0.281,1290,29500000,Africa,,,,,
Morocco,1.84,7450,36000000,Africa,,,,,
Namibia,1.75,10100,2450000,Africa,,,,,
Mali,0.187,2280,19100000,Africa,,,,,
Malawi,0.0762,1500,18100000,Africa,,,,,
Madagascar,0.163,1590,26300000,Africa,,,,,
Kenya,0.36,4340,51400000,Africa,,,,,
Eswatini,1.06,8520,1140000,Africa,,,,,
Cape Verde,1.16,6860,544000,Africa,,,,,
Djibouti,0.672,5210,959000,Africa,,,,,
Mauritania,0.605,5190,4400000,Africa,,,,,
Guinea,0.256,2500,12400000,Africa,,,,,
Ghana,0.615,5320,29800000,Africa,,,,,
"Congo, Rep.",0.617,3930,5240000,Africa,,,,,
Sao Tome and Principe,0.587,3990,211000,Africa,,,,,
Ethiopia,0.137,2100,109000000,Africa,,,,,
Egypt,2.43,11400,98400000,Africa,,,,,
Togo,0.434,2060,7890000,Africa,,,,,
Cote d'Ivoire,0.335,4850,25100000,Africa,,,,,
Comoros,0.263,3070,832000,Africa,,,,,
"Congo, Dem. Rep.",0.0243,1090,84100000,Africa,,,,,
Lesotho,1.26,2620,2110000,Africa,,,,,
Gambia,0.268,2160,2280000,Africa,,,,,
Chad,0.0656,1580,15500000,Africa,,,,,
Cameroon,0.323,3710,25200000,Africa,,,,,
Burundi,0.0467,762,11200000,Africa,,,,,
Burkina Faso,0.198,2120,19800000,Africa,,,,,
Guinea-Bissau,0.181,1900,1870000,Africa,,,,,
Sierra Leone,0.141,1660,7650000,Africa,,,,,
Benin,0.623,3160,11500000,Africa,,,,,
Eritrea,0.215,1560,3450000,Africa,,,,,
Liberia,0.324,1540,4820000,Africa,,,,,
Angola,1.12,6930,30800000,Africa,,,,,
Algeria,3.69,11600,42200000,Africa,,,,,
Central African Republic,0.0651,933,4670000,Africa,,,,,
Venezuela,4.81,12400,28900000,Americas,,,,,
United States,16.6,61600,327000000,Americas,,,,,
Bahamas,4.7,36500,386000,Americas,,,,,
Panama,2.62,31000,4180000,Americas,,,,,
St. Kitts and Nevis,4.62,27500,52400,Americas,,,,,
Trinidad and Tobago,31.3,26300,1390000,Americas,,,,,
Uruguay,2.01,23000,3450000,Americas,,,,,
Antigua and Barbuda,5.88,21000,96300,Americas,,,,,
Costa Rica,1.61,20700,5000000,Americas,,,,,
Suriname,3.1,19000,576000,Americas,,,,,
Grenada,2.43,16800,111000,Americas,,,,,
Barbados,4.48,15700,287000,Americas,,,,,
St. Lucia,2.31,15300,182000,Americas,,,,,
Peru,1.74,12800,32000000,Americas,,,,,
Guyana,3.12,12500,779000,Americas,,,,,
St. Vincent and the Grenadines,2.03,12500,110000,Americas,,,,,
Dominica,2.55,11500,71600,Americas,,,,,
Mexico,3.79,19900,126000000,Americas,,,,,
Jamaica,2.79,9740,2930000,Americas,,,,,
Belize,1.5,7260,383000,Americas,,,,,
El Salvador,1.11,8620,6420000,Americas,,,,,
Paraguay,1.07,12800,6960000,Americas,,,,,
Haiti,0.27,3170,11100000,Americas,,,,,
Honduras,1.04,5680,9590000,Americas,,,,,
Nicaragua,0.862,5730,6470000,Americas,,,,,
Guatemala,1.07,8460,17200000,Americas,,,,,
Ecuador,2.46,11600,17100000,Americas,,,,,
Dominican Republic,2.34,17700,10600000,Americas,,,,,
Cuba,2.53,9680,11300000,Americas,,,,,
Colombia,1.96,14300,49700000,Americas,,,,,
Chile,4.59,25000,18700000,Americas,,,,,
Canada,15.3,49000,37100000,Americas,,,,,
Brazil,2.18,14700,209000000,Americas,,,,,
Bolivia,1.96,8660,11400000,Americas,,,,,
Argentina,4.41,22700,44400000,Americas,,,,,
United Arab Emirates,21.4,67000,9630000,Asia,,,,,
Qatar,38,91000,2780000,Asia,,,,,
Yemen,0.356,2660,28500000,Asia,,,,,
Vietnam,2.16,7590,95500000,Asia,,,,,
Brunei,18.5,60400,429000,Asia,,,,,
Turkmenistan,13.7,14800,5850000,Asia,,,,,
Uzbekistan,2.81,7080,32500000,Asia,,,,,
Turkey,5.2,28300,82300000,Asia,,,,,
Kuwait,23.7,50500,4140000,Asia,,,,,
Thailand,4.15,18100,69400000,Asia,,,,,
Taiwan,11.6,51900,23700000,Asia,,,,,
Bahrain,19.8,46400,1570000,Asia,,,,,
New Zealand,7.34,42900,4740000,Asia,,,,,
Syria,1.67,3890,16900000,Asia,,,,,
Cyprus,6.3,40000,1190000,Asia,,,,,
Israel,7.67,39900,8380000,Asia,,,,,
Singapore,7.1,98200,5760000,Asia,,,,,
Sri Lanka,1.1,12900,21200000,Asia,,,,,
Oman,13.9,32600,4830000,Asia,,,,,
"Hong Kong, China",5.86,61100,7370000,Asia,,,,,
South Korea,12.9,42000,51200000,Asia,,,,,
Saudi Arabia,18.4,47600,33700000,Asia,,,,,
Maldives,2.96,18800,516000,Asia,,,,,
Palau,13.2,17600,17900,Asia,,,,,
Philippines,1.27,8520,107000000,Asia,,,,,
Georgia,2.64,14300,4000000,Asia,,,,,
Pakistan,1.05,4740,212000000,Asia,,,,,
Azerbaijan,3.7,14200,9950000,Asia,,,,,
Fiji,2.41,13800,883000,Asia,,,,,
Nauru,4.71,13600,10700,Asia,,,,,
North Korea,1.18,1860,25500000,Asia,,,,,
Lebanon,3.53,15700,6860000,Asia,,,,,
Lao,2.74,7590,7060000,Asia,,,,,
Armenia,1.89,12700,2950000,Asia,,,,,
Mongolia,8.88,12000,3170000,Asia,,,,,
Nepal,0.337,3770,28100000,Asia,,,,,
Myanmar,0.491,4470,53700000,Asia,,,,,
Jordan,2.42,10000,9970000,Asia,,,,,
Bhutan,1.61,11300,754000,Asia,,,,,
Malaysia,8.08,27600,31500000,Asia,,,,,
Kazakhstan,17.6,25500,18300000,Asia,,,,,
Japan,9.14,41800,127000000,Asia,,,,,
Kyrgyz Republic,1.6,5130,6300000,Asia,,,,,
Iraq,5.32,10600,38400000,Asia,,,,,
Iran,8.81,13500,81800000,Asia,,,,,
Tonga,1.31,6410,103000,Asia,,,,,
Samoa,1.32,6390,196000,Asia,,,,,
Palestine,0.661,6320,4860000,Asia,,,,,
Indonesia,2.3,11400,268000000,Asia,,,,,
India,1.96,6520,1350000000,Asia,,,,,
Papua New Guinea,0.911,4190,8610000,Asia,,,,,
Tuvalu,1.01,3950,11500,Asia,,,,,
Tajikistan,0.603,3420,9100000,Asia,,,,,
Marshall Islands,2.58,3820,58400,Asia,,,,,
"Micronesia, Fed. Sts.",1.34,3460,113000,Asia,,,,,
Timor-Leste,0.412,3090,1270000,Asia,,,,,
Vanuatu,0.529,3090,293000,Asia,,,,,
Solomon Islands,0.273,2700,653000,Asia,,,,,
China,7.06,15100,1430000000,Asia,,,,,
Kiribati,0.601,2290,116000,Asia,,,,,
Cambodia,0.64,4160,16200000,Asia,,,,,
Bangladesh,0.531,4440,161000000,Asia,,,,,
Australia,16.9,49000,24900000,Asia,,,,,
Afghanistan,0.254,2030,37200000,Asia,,,,,
Luxembourg,15.9,115000,604000,Europe,,,,,
Ireland,8.09,83700,4820000,Europe,,,,,
Andorra,6.12,58300,77000,Europe,,,,,
Iceland,10.8,56800,337000,Europe,,,,,
United Kingdom,5.65,46900,67100000,Europe,,,,,
Ukraine,5.09,12300,44200000,Europe,,,,,
Finland,8.52,48000,5520000,Europe,,,,,
Norway,8.31,64300,5340000,Europe,,,,,
Malta,3.61,43300,439000,Europe,,,,,
Austria,7.75,55300,8890000,Europe,,,,,
Slovenia,6.95,38000,2080000,Europe,,,,,
Lithuania,4.84,35400,2800000,Europe,,,,,
Estonia,14.8,35100,1320000,Europe,,,,,
Spain,5.75,40300,46700000,Europe,,,,,
Belarus,6.93,19000,9450000,Europe,,,,,
Slovak Republic,6.61,31200,5450000,Europe,,,,,
Latvia,3.73,30100,1930000,Europe,,,,,
Bulgaria,6.32,22200,7050000,Europe,,,,,
Denmark,6.06,56200,5750000,Europe,,,,,
Croatia,4.48,28200,4160000,Europe,,,,,
Montenegro,3.2,20700,628000,Europe,,,,,
Serbia,5.17,17500,8800000,Europe,,,,,
Hungary,5.14,31100,9710000,Europe,,,,,
Russia,11.7,26700,146000000,Europe,,,,,
Romania,3.8,28500,19500000,Europe,,,,,
North Macedonia,3.49,16100,2080000,Europe,,,,,
Portugal,4.97,34000,10300000,Europe,,,,,
Poland,9.07,31700,37900000,Europe,,,,,
Switzerland,4.33,70600,8530000,Europe,,,,,
Sweden,4.12,52300,9970000,Europe,,,,,
Bosnia and Herzegovina,6.53,14400,3320000,Europe,,,,,
Albania,1.59,13300,2880000,Europe,,,,,
Moldova,1.27,12400,4050000,Europe,,,,,
