country,co2,income,population,continent
Afghanistan,0.254,2030.0,37200000.0,Asia
Angola,1.12,6930.0,30800000.0,Africa
Albania,1.59,13300.0,2880000.0,Europe
Andorra,6.12,58300.0,77000.0,Europe
United Arab Emirates,21.4,67000.0,9630000.0,Asia
Argentina,4.41,22700.0,44400000.0,Americas
Armenia,1.89,12700.0,2950000.0,Asia
Antigua and Barbuda,5.88,21000.0,96300.0,Americas
Australia,16.9,49000.0,24900000.0,Asia
Austria,7.75,55300.0,8890000.0,Europe
Azerbaijan,3.7,14200.0,9950000.0,Asia
Burundi,0.0467,762.0,11200000.0,Africa
Belgium,8.69,51100.0,11500000.0,Europe
Benin,0.623,3160.0,11500000.0,Africa
Burkina Faso,0.198,2120.0,19800000.0,Africa
Bangladesh,0.531,4440.0,161000000.0,Asia
Bulgaria,6.32,22200.0,7050000.0,Europe
Bahrain,19.8,46400.0,1570000.0,Asia
Bahamas,4.7,36500.0,386000.0,Americas
Bosnia and Herzegovina,6.53,14400.0,3320000.0,Europe
Belarus,6.93,19000.0,9450000.0,Europe
Belize,1.5,7260.0,383000.0,Americas
Bolivia,1.96,8660.0,11400000.0,Americas
Brazil,2.18,14700.0,209000000.0,Americas
Barbados,4.48,15700.0,287000.0,Americas
Brunei,18.5,60400.0,429000.0,Asia
Bhutan,1.61,11300.0,754000.0,Asia
Botswana,2.96,16200.0,2250000.0,Africa
Central African Republic,0.0651,933.0,4670000.0,Africa
Canada,15.3,49000.0,37100000.0,Americas
Switzerland,4.33,70600.0,8530000.0,Europe
Chile,4.59,25000.0,18700000.0,Americas
China,7.06,15100.0,1430000000.0,Asia
Cote d'Ivoire,0.335,4850.0,25100000.0,Africa
Cameroon,0.323,3710.0,25200000.0,Africa
"Congo, Dem. Rep.",0.0243,1090.0,84100000.0,Africa
"Congo, Rep.",0.617,3930.0,5240000.0,Africa
Colombia,1.96,14300.0,49700000.0,Americas
Comoros,0.263,3070.0,832000.0,Africa
Cape Verde,1.16,6860.0,544000.0,Africa
Costa Rica,1.61,20700.0,5000000.0,Americas
Cuba,2.53,9680.0,11300000.0,Americas
Cyprus,6.3,40000.0,1190000.0,Asia
Czech Republic,9.94,39900.0,10700000.0,Europe
Germany,9.14,53500.0,83100000.0,Europe
Djibouti,0.672,5210.0,959000.0,Africa
Dominica,2.55,11500.0,71600.0,Americas
Denmark,6.06,56200.0,5750000.0,Europe
Dominican Republic,2.34,17700.0,10600000.0,Americas
Algeria,3.69,11600.0,42200000.0,Africa
Ecuador,2.46,11600.0,17100000.0,Americas
Egypt,2.43,11400.0,98400000.0,Africa
Eritrea,0.215,1560.0,3450000.0,Africa
Spain,5.75,40300.0,46700000.0,Europe
Estonia,14.8,35100.0,1320000.0,Europe
Ethiopia,0.137,2100.0,109000000.0,Africa
Finland,8.52,48000.0,5520000.0,Europe
