"Q","Year","Apple","Samsung","Huawei","Xiaomi","OPPO","Vivo","Others","Nokia","Research In Motion","HTC","Lenovo","LG","Sony","ZTE"
"Q1","2011",18.6,11.5,0,0,0,0,24.5,24.2,13.8,9,0,0,0,0
"Q2","2011",20.4,18.4,0,0,0,0,39.2,16.7,0,11.6,0,0,0,2
"Q3","2011",17.1,28.1,0,0,0,0,49.9,0,11.8,12.7,0,0,0,4.1
"Q4","2011",37,36.2,5.7,0,0,0,69.2,0,0,0,0,0,6.3,6.4
"Q1","2012",35.1,44,5.1,0,0,0,26.5,11.9,9.7,6.9,2.5,4.9,0,6.1
"Q2","2012",26,50.3,6.4,0,0,0,37.4,10.2,0,8.8,4.9,5.8,0,6.4
"Q3","2012",26.9,57.8,7.1,0,0,0,65.5,0,7.7,7.3,6.9,7,0,0
"Q4","2012",47.8,66.7,10.5,0,0,0,86,0,0,0,9.4,8.6,0,0
"Q1","2013",37.4,69.7,9.3,0,0,0,84.2,0,0,0,7.9,10.3,0,0
"Q2","2013",31.2,77.3,10.4,0,0,0,97.5,0,0,0,11.4,12.1,0,0
"Q3","2013",33.8,85,0,5.6,0,0,113,0,0,0,12.3,12,0,0
"Q4","2013",51,84.4,16.6,5.9,0,0,120.9,0,0,0,13.9,0,0,0
"Q1","2014",43.7,88.5,13.5,10,0,0,107.9,0,0,0,12.6,12.3,0,0
"Q2","2014",35.2,74.9,20.2,13.8,0,0,127.7,0,0,0,15.8,14.5,0,0
"Q3","2014",39.3,79.6,16.5,17.3,9.5,0,136.7,0,0,0,16.9,16.8,0,0
"Q4","2014",74.5,75.1,23.6,16.5,0,0,158.4,0,0,0,14.1,15.6,0,0
"Q1","2015",61.2,82.4,17.4,14.7,7.3,6.4,110.9,0,0,0,18.7,15.4,0,0
"Q2","2015",47.5,73,29.6,19.1,9.6,9.1,124.2,0,0,0,16.2,14.1,0,0
"Q3","2015",48,83.8,27.3,18.8,11.4,10.5,125.8,0,0,0,18.8,14.9,0,0
"Q4","2015",74.8,81.7,32.7,18.4,14.4,12.1,131.1,0,0,0,20.2,15.3,0,0
"Q1","2016",51.2,79.2,28.1,10.9,19.7,14.6,104.5,0,0,0,11.3,13.4,0,0
"Q2","2016",40.4,78.6,32.2,13.3,22.7,16.5,117.4,0,0,0,11.1,13.9,0,0
"Q3","2016",45.5,76.1,33.7,13.6,25.8,21.4,119.8,0,0,0,14,13.5,0,0
"Q4","2016",78.3,77.5,45.4,14.3,31.6,24.7,129.5,0,0,0,15,14.4,0,0
"Q1","2017",50.8,80.1,34.5,14.8,25.8,18.8,93.3,0,0,0,11.5,14.8,0,0
"Q2","2017",41,79.8,38.5,21.4,28,21.1,93.9,0,0,0,11.2,13.3,0,0
"Q3","2017",46.7,83.3,39.1,28.3,30.6,24.2,96.6,0,0,0,15.3,13.7,0,0
"Q4","2017",77.3,74.5,42.1,28.2,27.3,23.5,95.5,0,0,0,12.3,13.9,0,0
"Q1","2018",52.2,78.2,39.3,27.8,24.6,18.7,71.5,0,0,0,9.2,11.2,0,0
"Q2","2018",41.3,71.5,54.2,32.4,29.4,27.1,65.3,0,0,0,10.3,9.7,0,0
"Q3","2018",46.9,72.2,52,33.8,30,29.5,69.7,0,0,0,11,10.5,0,0
"Q4","2018",68.4,70.3,60.5,25,29.3,25.8,75.3,0,0,0,10.4,8.1,0,0
"Q1","2019",36.8,71.9,59.1,27.8,23.1,23.2,70.4,0,0,0,0,0,0,0
"Q2","2019",33.8,76.2,58.7,32.3,29.5,0,101,0,0,0,0,0,0,0
"Q3","2019",46.6,78.2,66.6,32.7,31.2,30.2,73,0,0,0,0,0,0,0
"Q4","2019",73.8,69.5,56.2,32.8,30.6,0,107.1,0,0,0,0,0,0,0
"Q1","2020",36.7,58.4,49,29.5,22.8,24.8,54,0,0,0,0,0,0,0
"Q2","2020",37.6,54,55.8,28.5,24,23.7,53.2,0,0,0,0,0,0,0
"Q3","2020",41.7,80.4,51.9,46.5,30.6,31.5,72.4,0,0,0,0,0,0,0
"Q4","2020",90.1,73.9,32.3,43.3,33.8,0,112.4,0,0,0,0,0,0,0
"Q1","2021",55.2,75.3,0,48.6,37.5,34.9,94.1,0,0,0,0,0,0,0
"Q2","2021",44.2,59,0,53.1,32.8,31.6,92.4,0,0,0,0,0,0,0
"Q3","2021",50.4,69,0,44.3,33.2,33.3,101.1,0,0,0,0,0,0,0
